date,region,phenomena,County,GRAV. 10 - PM 10_Valoare [µg/m³],GRAV. 2.5 - PM 2.5_Valoare [µg/m³],MTX - Presiunea aerului_Valoare [mbar],MTX - Temperatura aer_Valoare [°C],MTX - Umiditate relativa_Valoare [%],water_average
2014-10-24,Moldova,"['Ninsoare', 'Ploaie']",IS,17.52,16.49,1009.9,3.713333333333333,100.0,246.3333333333333
2014-10-24,Transilvania,"['Ninsoare', 'Viscol', 'Ger']",CJ,12.06,4.35,901.8,9.43,95.5,246.3333333333333
2014-10-26,Moldova,['Ninsoare'],IS,24.725,23.73,1017.55,1.096666666666666,90.0,283.5
2014-10-26,Transilvania,['Ninsoare'],CJ,20.76,22.3,919.6500000000001,3.37,86.5,283.5
2014-10-29,Moldova,"['Ninsoare', 'Ger']",IS,51.025,43.26,1013.1,3.956666666666667,97.0,313.1666666666666
2014-10-29,Transilvania,"['Fulguială', 'Ninsoare', 'Ger', 'Viscol']",CJ,62.19,48.41,911.4000000000001,5.41,85.0,313.1666666666666
2014-10-31,Transilvania,['Burnita'],CJ,45.695,32.82,917.7,6.5,92.5,359.1666666666666
2014-11-06,Banat,"['Vreme frumoasa', 'Vant']",TM,33.75,14.54,1008.2,15.71,58.0,430.1666666666666
2014-11-06,Moldova,"['Vreme de toamna blanda', 'Ceata']",IS,45.08499999999999,58.7,1009.55,10.80333333333333,96.0,430.1666666666666
2014-11-06,Transilvania,['Vreme de toamna blanda'],CJ,33.905,39.16,910.85,9.06,90.5,430.1666666666666
2014-11-08,Banat,['Ceata'],TM,57.7575,10.72,1005.2,14.73,82.0,414.8333333333334
2014-11-08,Moldova,['Ceata'],IS,33.19666666666667,31.88,1008.85,11.76333333333333,100.0,414.8333333333334
2014-11-08,Transilvania,"['Ceata', 'Burnita']",CJ,45.87,3.99,907.4000000000001,11.87,97.5,414.8333333333334
2014-11-09,Banat,"['Ceată', 'Vreme frumoasă']",TM,49.9675,15.72,1008.3,11.9,91.0,414.5
