Luna/Zi,region,County,phenomena,GRAV. 10 - PM 10_Valoare [µg/m³],MTX - Presiunea aerului_Valoare [mbar],MTX - Temperatura aer_Valoare [°C],MTX - Umiditate relativa_Valoare [%]
2009-02-19,Muntenia,B,"['Ninsori', 'Lapoviță', 'Ninsoare', 'Ninsori', 'Ploaie', 'Vânt', 'Fulguieli', 'Inundație', 'Vânt puternic', 'Ploaie', 'Lapoviță', 'Ploaie', 'Polei', 'Ger', 'Ninsori', 'Ceață', 'Inundație']",34.42857142857143,998.88,0.252,86.2
2009-02-20,Muntenia,B,"['Ninsori', 'Lapoviță', 'Intensificări de vânt', 'Ninsoare', 'Vânt']",19.28571428571428,1002.76,1.24,80.2
2009-02-21,Muntenia,B,"['Ninsori', 'Fulger', 'Ninsoare']",31.57142857142857,1009.96,0.156,87.6
2009-02-22,Muntenia,B,"['Ninsoare', 'Ninsori', 'Fulguieli', 'Ceata']",29.28571428571428,1010.0,-1.51,89.4
2009-02-23,Muntenia,B,"['Fulger', 'Ceață']",33.71428571428572,1005.1,-0.6759999999999999,84.8
2009-02-24,Muntenia,B,"['Fulgi', 'Ceată', 'Depuneri de chiciură']",48.42857142857143,1007.6,-0.834,78.4
2009-02-25,Muntenia,B,"['Ceață', 'Ger']",56.85714285714285,1013.96,-0.466,82.0
2009-02-26,Muntenia,B,['Ninsoare'],65.14285714285714,1008.96,0.182,81.6
2009-02-27,Muntenia,B,"['Lapoviță', 'Caniculă']",74.0,1000.32,1.302,81.6
2009-02-28,Muntenia,B,"['Lapoviță', 'Ninsoare', 'Ploaie']",50.0,1002.04,3.802,75.6
2009-01-03,Muntenia,B,"['Lapoviță', 'Ploaie', 'Ploi', 'Ploi']",59.0,1005.56,4.194,71.4
2009-02-03,Muntenia,B,"['Ploaie', 'Precipitații mixte']",37.4,1007.22,2.166,56.6
2009-03-03,Muntenia,B,"['Ploaie', 'Ceață']",60.6,1006.26,4.141999999999999,63.8
2009-04-03,Muntenia,B,"['Ploaie', 'Ploaie', 'Ploaie', 'Negură']",69.83333333333333,1003.4,5.718,82.6
2009-05-03,Muntenia,B,"['Ploaie', 'Ploaie', 'Răcire', 'Inundație', 'Vânt puternic']",27.125,990.88,6.618,87.8
2009-06-03,Muntenia,B,"['Ploi', 'Ploaie', 'Ninsoare']",40.0,982.64,7.931999999999999,86.4
2009-07-03,Muntenia,B,"['Ploaie', 'Ploaie']",42.0,981.84,9.658,85.6
