Luna/Zi,County,42i - NO2_Valoare [µg/m³],43i - SO2_Valoare [µg/m³],48i - CO_Valoare [mg/m³],GRAV. 10 - PM 10_Valoare [µg/m³],GRAV. 2.5 - PM 2.5_Valoare [µg/m³],MTX - Presiunea aerului_Valoare [mbar],MTX - Temperatura aer_Valoare [°C],MTX - Umiditate relativa_Valoare [%],article_date,region,phenomena
2009-02-19,B,29.33375,13.97166666666667,0.6733333333333333,34.42857142857143,,998.8799999999999,0.252,86.2,2009-02-19,Muntenia,"['Ninsori', 'Lapoviță', 'Ninsoare', 'Ninsori', 'Ploaie', 'Vânt', 'Fulguieli', 'Inundație', 'Vânt puternic', 'Ploaie', 'Lapoviță', 'Ploaie', 'Polei', 'Ger', 'Ninsori', 'Ceață', 'Inundație']"
2009-02-20,B,30.10375,11.84333333333333,0.4766666666666667,19.28571428571428,,1002.76,1.24,80.2,2009-02-20,Muntenia,"['Ninsori', 'Lapoviță', 'Intensificări de vânt', 'Ninsoare', 'Vânt']"
2009-02-21,B,27.33499999999999,11.385,0.6266666666666666,31.57142857142857,,1009.96,0.156,87.6,2009-02-21,Muntenia,"['Ninsori', 'Fulger', 'Ninsoare']"
2009-02-22,B,21.8375,8.565,0.61,29.28571428571428,,1010.0,-1.51,89.4,2009-02-22,Muntenia,"['Ninsoare', 'Ninsori', 'Fulguieli', 'Ceata']"
2009-02-23,B,19.60375,12.41666666666667,0.62,33.71428571428572,,1005.1,-0.6759999999999999,84.8,2009-02-23,Muntenia,"['Fulger', 'Ceață']"
2009-02-24,B,36.84499999999999,8.941666666666666,0.7833333333333333,48.42857142857143,,1007.6,-0.834,78.4,2009-02-24,Muntenia,"['Fulgi', 'Ceată', 'Depuneri de chiciură']"
2009-02-25,B,36.65875,8.258333333333333,0.8166666666666668,56.85714285714285,,1013.96,-0.466,82.0,2009-02-25,Muntenia,"['Ceață', 'Ger']"
2009-02-26,B,35.12,26.59166666666667,0.7066666666666667,65.14285714285714,,1008.96,0.182,81.6,2009-02-26,Muntenia,['Ninsoare']
2009-02-27,B,39.63,18.995,0.84,74.0,,1000.32,1.302,81.6,2009-02-27,Muntenia,"['Lapoviță', 'Caniculă']"
2009-02-28,B,38.83875,14.53,0.6966666666666668,50.0,,1002.04,3.802,75.6,2009-02-28,Muntenia,"['Lapoviță', 'Ninsoare', 'Ploaie']"
2009-01-03,B,35.91875,18.07333333333333,0.7166666666666668,59.0,,1005.56,4.194,71.4,2009-01-03,Muntenia,"['Lapoviță', 'Ploaie', 'Ploi', 'Ploi']"
2009-02-03,B,37.06,9.821666666666665,0.7666666666666666,37.4,,1007.22,2.166,56.6,2009-02-03,Muntenia,"['Ploaie', 'Precipitații mixte']"
2009-03-03,B,52.33624999999999,10.84833333333333,0.91,60.6,,1006.26,4.141999999999999,63.8,2009-03-03,Muntenia,"['Ploaie', 'Ceață']"
2009-04-03,B,48.05750000000001,20.38666666666667,0.6,69.83333333333333,,1003.4,5.718,82.6,2009-04-03,Muntenia,"['Ploaie', 'Ploaie', 'Ploaie', 'Negură']"
2009-05-03,B,35.49142857142857,14.09833333333333,0.49,27.125,,990.8799999999999,6.618,87.8,2009-05-03,Muntenia,"['Ploaie', 'Ploaie', 'Răcire', 'Inundație', 'Vânt puternic']"
2009-06-03,B,32.8425,10.01666666666667,0.5399999999999999,40.0,,982.64,7.931999999999999,86.4,2009-06-03,Muntenia,"['Ploi', 'Ploaie', 'Ninsoare']"
2009-07-03,B,29.81,8.22,0.61,42.0,,981.8399999999999,9.658,85.6,2009-07-03,Muntenia,"['Ploaie', 'Ploaie']"
2009-08-03,B,18.31,12.71,0.77,14.375,,988.26,6.258,88.0,2009-08-03,Muntenia,['Ploaie']
2009-09-03,B,23.27125,15.52333333333333,0.6733333333333333,27.5,,991.5600000000001,7.283999999999999,73.2,2009-09-03,Muntenia,"['Ploi', 'Ploi']"
2009-10-03,B,41.03875000000001,7.775000000000001,0.75,27.5,,996.1600000000001,4.667999999999999,89.4,2009-10-03,Muntenia,"['Ploaie', 'Lapoviță', 'Ploaie']"
2009-11-03,B,39.02625,11.58666666666667,0.7733333333333334,39.0,,1003.54,4.409999999999999,83.2,2009-11-03,Muntenia,"['Ploaie', 'Lapoviță', 'Ninsoare', 'Ploi slabe']"
